category,subcategory,language_id,image,question,question_type,optiona,optionb,optionc,optiond,optione,answer,level,note
48,104,85,,The biographical memoir of A. O. Hume was written by __?,1,Sir William Wedderburn,Lord Dufferin,J. Charles,None of the above,,a,6,
48,104,85,,Which one is the longest film to be shown in a cinema?,1,Grandmother Martha,The Cure for Insomnia,The Clock,Heimat: A Chronicle of Germany,,b,6,
48,104,85,,FIDE is the international federation of which sports/game?,1,Football,Chess,Basketball,Hockey ,Cricket,b,6,
48,104,85,,“Nuclear football”"," which was making news recently"," is associated with which country?,1,Russia,China,USA,Australia,West Indies,c,6,
48,104,85,https://quizdemo.wrteam.in/images/questions/1628051308.8727.png,What is the name of this pastry"," which is typically made of a layered yeast-leavened dough with butter?,1,Macarons,Croissants,Danishes,weate,,b,6,
48,104,85,https://quizdemo.wrteam.in/images/questions/1628051319.8217.png,What is the name of this coffee shop brand?,1,Tchibo,Starbucks,Stumptown Coffee Roasters,Queen,,b,6,
48,104,85,,What does the Venus of Brassempouy represent?,1,a woman’s head,an angel,a human figure,an old man,,a,6,
48,104,85,,To which artistic movement does Paul Gauguin’s The Yellow Christ belong?,1,Impressionism,Bauhaus,Cloisonnism,Fauvism,,c,6,
48,104,85,,Early photographers made their images on which of these materials?,1,Glass,Stone,Paper,Plastic,,a,6,
48,104,85,,Which of these is a paint made from pigments and plastic?,1, Acrylic,Gesso,Acetone,Tempera,,a,6,
48,104,85,,The biographical memoir of A. O. Hume was written by __?,1,Sir William Wedderburn,Lord Dufferin,J. Charles,None of the above,,a,5,
48,104,85,,Which one is the longest film to be shown in a cinema?,1,Grandmother Martha,The Cure for Insomnia,The Clock,Heimat: A Chronicle of Germany,,b,5,
48,104,85,,FIDE is the international federation of which sports/game?,1,Football,Chess,Basketball,Hockey ,Cricket,b,5,
48,104,85,,“Nuclear football”, which was making news recently, is associated with which country?,1,Russia,China,USA,Australia,West Indies,c,5,
48,104,85,https://quizdemo.wrteam.in/images/questions/1628051374.7628.png,What is the name of this pastry, which is typically made of a layered yeast-leavened dough with butter?,1,Macarons,Croissants,Danishes,weate,,b,5,
48,104,85,https://quizdemo.wrteam.in/images/questions/1628051392.6826.png,What is the name of this coffee shop brand?,1,Tchibo,Starbucks,Stumptown Coffee Roasters,Queen,,b,5,
48,104,85,,What does the Venus of Brassempouy represent?,1,a woman’s head,an angel,a human figure,an old man,,a,5,
48,104,85,,To which artistic movement does Paul Gauguin’s The Yellow Christ belong?,1,Impressionism,Bauhaus,Cloisonnism,Fauvism,,c,5,
48,104,85,,Early photographers made their images on which of these materials?,1,Glass,Stone,Paper,Plastic,,a,5,
48,104,85,,Which of these is a paint made from pigments and plastic?,1, Acrylic,Gesso,Acetone,Tempera,,a,5,
48,104,85,,The biographical memoir of A. O. Hume was written by __?,1,Sir William Wedderburn,Lord Dufferin,J. Charles,None of the above,,a,4,
48,104,85,,Which one is the longest film to be shown in a cinema?,1,Grandmother Martha,The Cure for Insomnia,The Clock,Heimat: A Chronicle of Germany,,b,4,
48,104,85,,FIDE is the international federation of which sports/game?,1,Football,Chess,Basketball,Hockey ,Cricket,b,4,
48,104,85,,“Nuclear football”, which was making news recently, is associated with which country?,1,Russia,China,USA,Australia,West Indies,c,4,
48,104,85,https://quizdemo.wrteam.in/images/questions/1628051409.769.png,What is the name of this pastry, which is typically made of a layered yeast-leavened dough with butter?,1,Macarons,Croissants,Danishes,weate,,b,4,
48,104,85,https://quizdemo.wrteam.in/images/questions/1628051424.8673.png,What is the name of this coffee shop brand?,1,Tchibo,Starbucks,Stumptown Coffee Roasters,Queen,,b,4,
48,104,85,,What does the Venus of Brassempouy represent?,1,a woman’s head,an angel,a human figure,an old man,,a,4,
48,104,85,,To which artistic movement does Paul Gauguin’s The Yellow Christ belong?,1,Impressionism,Bauhaus,Cloisonnism,Fauvism,,c,4,
48,104,85,,Early photographers made their images on which of these materials?,1,Glass,Stone,Paper,Plastic,,a,4,
48,104,85,,Which of these is a paint made from pigments and plastic?,1, Acrylic,Gesso,Acetone,Tempera,,a,4,
48,104,85,,The biographical memoir of A. O. Hume was written by __?,1,Sir William Wedderburn,Lord Dufferin,J. Charles,None of the above,,a,3,
48,104,85,,Which one is the longest film to be shown in a cinema?,1,Grandmother Martha,The Cure for Insomnia,The Clock,Heimat: A Chronicle of Germany,,b,3,
48,104,85,,FIDE is the international federation of which sports/game?,1,Football,Chess,Basketball,Hockey ,Cricket,b,3,
48,104,85,,“Nuclear football”, which was making news recently, is associated with which country?,1,Russia,China,USA,Australia,West Indies,c,3,
48,104,85,https://quizdemo.wrteam.in/images/questions/1628051441.1935.png,What is the name of this pastry, which is typically made of a layered yeast-leavened dough with butter?,1,Macarons,Croissants,Danishes,weate,,b,3,
48,104,85,https://quizdemo.wrteam.in/images/questions/1628051457.4253.png,What is the name of this coffee shop brand?,1,Tchibo,Starbucks,Stumptown Coffee Roasters,Queen,,b,3,
48,104,85,,What does the Venus of Brassempouy represent?,1,a woman’s head,an angel,a human figure,an old man,,a,3,
48,104,85,,To which artistic movement does Paul Gauguin’s The Yellow Christ belong?,1,Impressionism,Bauhaus,Cloisonnism,Fauvism,,c,3,
48,104,85,,Early photographers made their images on which of these materials?,1,Glass,Stone,Paper,Plastic,,a,3,
48,104,85,,Which of these is a paint made from pigments and plastic?,1, Acrylic,Gesso,Acetone,Tempera,,a,3,
48,104,85,,The biographical memoir of A. O. Hume was written by __?,1,Sir William Wedderburn,Lord Dufferin,J. Charles,None of the above,,a,2,
48,104,85,,Which one is the longest film to be shown in a cinema?,1,Grandmother Martha,The Cure for Insomnia,The Clock,Heimat: A Chronicle of Germany,,b,2,
48,104,85,,FIDE is the international federation of which sports/game?,1,Football,Chess,Basketball,Hockey ,Cricket,b,2,
48,104,85,,“Nuclear football”, which was making news recently, is associated with which country?,1,Russia,China,USA,Australia,West Indies,c,2,
48,104,85,https://quizdemo.wrteam.in/images/questions/1628051474.0273.png,What is the name of this pastry, which is typically made of a layered yeast-leavened dough with butter?,1,Macarons,Croissants,Danishes,weate,,b,2,
48,104,85,https://quizdemo.wrteam.in/images/questions/1628051485.4774.png,What is the name of this coffee shop brand?,1,Tchibo,Starbucks,Stumptown Coffee Roasters,Queen,,b,2,
48,104,85,,What does the Venus of Brassempouy represent?,1,a woman’s head,an angel,a human figure,an old man,,a,2,
48,104,85,,To which artistic movement does Paul Gauguin’s The Yellow Christ belong?,1,Impressionism,Bauhaus,Cloisonnism,Fauvism,,c,2,
48,104,85,,Early photographers made their images on which of these materials?,1,Glass,Stone,Paper,Plastic,,a,2,
48,104,85,,Which of these is a paint made from pigments and plastic?,1, Acrylic,Gesso,Acetone,Tempera,,a,2,
48,104,85,,The biographical memoir of A. O. Hume was written by __?,1,Sir William Wedderburn,Lord Dufferin,J. Charles,None of the above,,a,1,
48,104,85,,Which one is the longest film to be shown in a cinema?,1,Grandmother Martha,The Cure for Insomnia,The Clock,Heimat: A Chronicle of Germany,,b,1,
